[SYS] 2025/11/11 - 16:41:56 | initializing token encoders 
[SYS] 2025/11/11 - 16:41:56 | token encoders initialized 
[SYS] 2025/11/11 - 16:41:56 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/11/11 - 16:41:56 | database migration started 
[SYS] 2025/11/11 - 16:41:56 | system is already initialized at: 2025-09-23 14:26:35 +0800 CST 
[SYS] 2025/11/11 - 16:41:56 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/11/11 - 16:41:56 | New API v0.0.0 started 
[SYS] 2025/11/11 - 16:41:56 | running in debug mode 
[SYS] 2025/11/11 - 16:41:56 | 正在更新数据看板数据... 
[SYS] 2025/11/11 - 16:41:56 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/11 - 16:42:11 | 任务进度轮询开始 
[SYS] 2025/11/11 - 16:42:11 | 任务进度轮询完成 
[SYS] 2025/11/11 - 16:42:21 | [WorkflowPricing] ===== 开始查询工作流定价 ===== 
[SYS] 2025/11/11 - 16:42:21 | [WorkflowPricing] 输入参数: workflow_id=7520444303086125096, channel_id=7 
[SYS] 2025/11/11 - 16:42:21 | [WorkflowPricing] ✅ 从 ModelPrice 读取定价: workflow=7520444303086125096, price=0.10元, quota=50000 
[SYS] 2025/11/11 - 16:42:21 | [WorkflowPricing] 同步工作流按次计费: workflow=7520444303086125096, base_quota=50000, group_ratio=2.00, channel_ratio=0.50, preconsume=50000 
[INFO] 2025/11/11 - 16:42:21 | 20251111164221274792000RHlYc7ys | 用户 1 额度充足且为无限额度令牌, 信任且不需要预扣费 
[SYS] 2025/11/11 - 16:42:21 | [Init] Coze工作流请求参数过滤完成 
[SYS] 2025/11/11 - 16:42:21 | [WorkflowModel] 工作流ID作为模型名称: 7520444303086125096 
[SYS] 2025/11/11 - 16:42:21 | [透传模式] 发送给Coze的工作流请求: {"workflow_id":"7520444303086125096","parameters":{"input":"给我一个旅行建议"}} 
[DEBUG] 2025/11/11 - 16:42:21 | 20251111164221274792000RHlYc7ys | text request body: {"workflow_id":"7520444303086125096","parameters":{"input":"给我一个旅行建议"}} 
[SYS] 2025/11/11 - 16:42:21 | DoRequest called with OriginModelName: 7520444303086125096 
[SYS] 2025/11/11 - 16:42:21 | Processing as Coze workflow request 
[SYS] 2025/11/11 - 16:42:21 | [OAuth Debug] ChannelOtherSettings: {AzureResponsesVersion: VertexKeyType: CozeAuthType:oauth} 
[SYS] 2025/11/11 - 16:42:21 | [OAuth Debug] CozeAuthType 原始值: 'oauth' 
[SYS] 2025/11/11 - 16:42:21 | [OAuth Debug] 缓存未命中，开始生成新 token 
[SYS] 2025/11/11 - 16:42:21 | [OAuth Debug] JWT 签名成功 (前50字符): eyJhbGciOiJSUzI1NiIsImtpZCI6Im9rQ0UzWE95TXZDeDlwNU... 
[SYS] 2025/11/11 - 16:42:21 | [OAuth Debug] 向 https://api.coze.cn/api/permission/oauth2/token 发送 token 交换请求 
[SYS] 2025/11/11 - 16:42:21 | [OAuth Debug] Token 交换响应状态: 200, 响应体: {"access_token":"czs_qgIIUyRuHnGyCZUhs72pZxsyI6IzFNzRpRuZ3AYmt3dIizEn4U6s5LAf9NT3BRpqX","expires_in":1762851440,"token_type":"Bearer"} 
