[SYS] 2025/10/16 - 14:49:36 | initializing token encoders 
[SYS] 2025/10/16 - 14:49:36 | token encoders initialized 
[SYS] 2025/10/16 - 14:49:36 | SQL_DSN not set, using SQLite as database 
[SYS] 2025/10/16 - 14:49:36 | database migration started 
[SYS] 2025/10/16 - 14:49:36 | system is already initialized at: 2025-10-10 14:30:09 +0800 CST 
[SYS] 2025/10/16 - 14:49:36 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/10/16 - 14:49:36 | New API v0.0.0 started 
[SYS] 2025/10/16 - 14:49:36 | running in debug mode 
[SYS] 2025/10/16 - 14:49:36 | 正在更新数据看板数据... 
[SYS] 2025/10/16 - 14:49:36 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/10/16 - 14:49:51 | 任务进度轮询开始 
[SYS] 2025/10/16 - 14:49:51 | 任务进度轮询完成 
[SYS] 2025/10/16 - 14:50:06 | 任务进度轮询开始 
[SYS] 2025/10/16 - 14:50:06 | 任务进度轮询完成 
[SYS] 2025/10/16 - 14:50:21 | 任务进度轮询开始 
[SYS] 2025/10/16 - 14:50:21 | 任务进度轮询完成 
[SYS] 2025/10/16 - 14:50:36 | syncing options from database 
[SYS] 2025/10/16 - 14:50:36 | 任务进度轮询开始 
[SYS] 2025/10/16 - 14:50:36 | 任务进度轮询完成 
[SYS] 2025/10/16 - 14:50:51 | 任务进度轮询开始 
[SYS] 2025/10/16 - 14:50:51 | 任务进度轮询完成 
[SYS] 2025/10/16 - 14:51:06 | 任务进度轮询开始 
[SYS] 2025/10/16 - 14:51:06 | 任务进度轮询完成 
[SYS] 2025/10/16 - 14:51:21 | 任务进度轮询开始 
[SYS] 2025/10/16 - 14:51:21 | 任务进度轮询完成 
[INFO] 2025/10/16 - 14:51:31 | 20251016145131118474000ZgIUvft1 | 用户 1 额度充足且为无限额度令牌, 信任且不需要预扣费 
[SYS] 2025/10/16 - 14:51:31 | 发送给Coze的工作流请求: {"workflow_id":"7549076385299333172","parameters":{"BOT_USER_INPUT":"智能手机","input":"智能手机"}} 
[DEBUG] 2025/10/16 - 14:51:31 | 20251016145131118474000ZgIUvft1 | text request body: {"workflow_id":"7549076385299333172","parameters":{"BOT_USER_INPUT":"智能手机","input":"智能手机"}} 
[SYS] 2025/10/16 - 14:51:31 | DoRequest called with OriginModelName: coze-workflow 
[SYS] 2025/10/16 - 14:51:31 | Processing as Coze workflow request 
[SYS] 2025/10/16 - 14:51:31 | [OAuth Debug] ChannelOtherSettings: {AzureResponsesVersion: VertexKeyType: CozeAuthType:oauth} 
[SYS] 2025/10/16 - 14:51:31 | [OAuth Debug] CozeAuthType 原始值: 'oauth' 
[SYS] 2025/10/16 - 14:51:31 | [OAuth Debug] 缓存未命中，开始生成新 token 
[SYS] 2025/10/16 - 14:51:31 | [OAuth Debug] JWT 签名成功 (前50字符): eyJhbGciOiJSUzI1NiIsImtpZCI6Im9rQ0UzWE95TXZDeDlwNU... 
[SYS] 2025/10/16 - 14:51:31 | [OAuth Debug] 向 https://api.coze.cn/api/permission/oauth2/token 发送 token 交换请求 
[SYS] 2025/10/16 - 14:51:31 | [OAuth Debug] Token 交换响应状态: 200, 响应体: {"access_token":"czs_qzMClxmWkDvHBJelvsu16JYTSlOaJqqqgJafKObGQnaDEsLVkg8ySfIsZaO6lyfEP","expires_in":1760598391,"token_type":"Bearer"} 
[SYS] 2025/10/16 - 14:51:31 | [OAuth Debug] Access token 获取成功 (前20字符): czs_qzMClxmWkDvHBJel... 
[SYS] 2025/10/16 - 14:51:31 | [OAuth Debug] 准备使用 OAuth token (前20字符): czs_qzMClxmWkDvHBJel... 
[SYS] 2025/10/16 - 14:51:31 | [OAuth Debug] 设置 Authorization 头 (前30字符): Bearer czs_qzMClxmWkDvHBJelvsu... 
[SYS] 2025/10/16 - 14:51:36 | syncing options from database 
[SYS] 2025/10/16 - 14:51:36 | 任务进度轮询开始 
[SYS] 2025/10/16 - 14:51:36 | 任务进度轮询完成 
[SYS] 2025/10/16 - 14:51:51 | 任务进度轮询开始 
[SYS] 2025/10/16 - 14:51:51 | 任务进度轮询完成 
[SYS] 2025/10/16 - 14:52:01 | DoResponse called with OriginModelName: coze-workflow 
[SYS] 2025/10/16 - 14:52:01 | === cozeWorkflowStreamHandler (标准SSE格式) === 
[SYS] 2025/10/16 - 14:52:01 | [SSE] 原始行: id: 0 
[SYS] 2025/10/16 - 14:52:01 | [SSE] 原始行: event: PING 
[SYS] 2025/10/16 - 14:52:01 | [SSE] 事件类型: PING 
[SYS] 2025/10/16 - 14:52:01 | [SSE] 原始行: data: {"content":"{}","node_execute_uuid":""} 
[SYS] 2025/10/16 - 14:52:01 | [SSE] 原始行:  
[SYS] 2025/10/16 - 14:52:01 | [SSE] 处理事件 PING 
[SYS] 2025/10/16 - 14:52:01 | [SSE] 未知事件类型: PING 
[SYS] 2025/10/16 - 14:52:06 | 任务进度轮询开始 
[SYS] 2025/10/16 - 14:52:06 | 任务进度轮询完成 
[SYS] 2025/10/16 - 14:52:21 | 任务进度轮询开始 
[SYS] 2025/10/16 - 14:52:21 | 任务进度轮询完成 
[SYS] 2025/10/16 - 14:52:36 | syncing options from database 
[SYS] 2025/10/16 - 14:52:36 | 任务进度轮询开始 
[SYS] 2025/10/16 - 14:52:36 | 任务进度轮询完成 
[SYS] 2025/10/16 - 14:52:36 | [SSE] 原始行: id: 1 
[SYS] 2025/10/16 - 14:52:36 | [SSE] 原始行: event: PING 
[SYS] 2025/10/16 - 14:52:36 | [SSE] 事件类型: PING 
[SYS] 2025/10/16 - 14:52:36 | [SSE] 原始行: data: {"content":"{}","node_execute_uuid":""} 
[SYS] 2025/10/16 - 14:52:36 | [SSE] 原始行:  
[SYS] 2025/10/16 - 14:52:36 | [SSE] 处理事件 PING 
[SYS] 2025/10/16 - 14:52:36 | [SSE] 未知事件类型: PING 
[SYS] 2025/10/16 - 14:52:51 | 任务进度轮询开始 
[SYS] 2025/10/16 - 14:52:51 | 任务进度轮询完成 
[SYS] 2025/10/16 - 14:53:06 | 任务进度轮询开始 
[SYS] 2025/10/16 - 14:53:06 | 任务进度轮询完成 
[SYS] 2025/10/16 - 14:53:11 | [SSE] 原始行: id: 2 
[SYS] 2025/10/16 - 14:53:11 | [SSE] 原始行: event: PING 
[SYS] 2025/10/16 - 14:53:11 | [SSE] 事件类型: PING 
[SYS] 2025/10/16 - 14:53:11 | [SSE] 原始行: data: {"content":"{}","node_execute_uuid":""} 
[SYS] 2025/10/16 - 14:53:11 | [SSE] 原始行:  
[SYS] 2025/10/16 - 14:53:11 | [SSE] 处理事件 PING 
